Country,CountryName,FDI,ELECTRICITY,RENEWABLE_ENERGY,CO2,CPI,CELL_PHONES,INTERNET,EXPORTS,IMPORTS,GDP,FEMALE_MORTALITY,MALE_MORTALITY,BIRTH,DEATH,INFANT_MORTALITY,LIFE_EXP,FERTILITY,POPULATION,URBAN_POP
ABW,Aruba,7.568159848,93.35629215,5.464715906,24.67052887,2.07773902,129.636369,62,61.50244839,74.81634252,24271.94042,76.722,123.598,11.26,7.919,18.79029479,75.016,1.776,0.212680144,43.059
AFG,Afghanistan,0.340096813,42.7,14.83980596,0.293836994,0.892536936,35.46776644,4,10.02384975,44.94347835,553.3002894,228.971,271.299,39.232,8.095,65.7,61.226,5.816,2.812616959,24.689
AGO,Angola,-3.913150783,33.5149498,54.19383662,1.243405585,14.4705412,40.23840253,2.8,62.387739,42.94996785,3529.053482,233.617,306.825,45.314,10.45,75.4,58.192,6.162,3.570098638,40.097
ALB,Albania,9.137790485,100,37.11532977,1.578573584,3.789836348,91.56092875,45,27.97947124,48.56400031,4094.358832,55.601,92.752,11.819,6.776,14.8,76.652,1.653,-0.496461963,52.163
ARE,United Arab Emirates,3.034620045,100,0.108121925,19.44369027,0.878936756,132.1053857,68,77.71303524,79.03289118,35049.14832,61.349,87.243,11.656,1.474,7.3,76.344,1.869,7.587098323,84.055
ARG,Argentina,2.675161719,98.82,8.961445952,4.558499612,10.78011543,138.4689785,45,18.93382341,16.03718986,10276.2605,79.04,161.41,18.154,7.637,12.9,75.595,2.37,1.035037143,90.966
ARM,Armenia,5.716037845,99.8,9.359817006,1.465621895,8.181575544,134.3391104,25,20.83009472,45.31719197,3218.381655,83.191,189.182,15.065,9.757,16.2,73.331,1.693,-0.391023921,63.58
ATG,Antigua and Barbuda,8.388876539,94.24700928,0,5.539567509,3.370025402,177.4437202,47,45.45318401,58.91089871,12174.69786,113.97,161.646,17.308,5.941,7.4,75.412,2.13,1.147471712,26.239
AUS,Australia,3.080886285,100,8.109027293,17.74084505,2.845225682,101.7176081,76,19.43371447,20.40480675,51874.08048,45.705,78.636,13.7,6.5,4,81.69512195,1.928,1.555489589,88.733
AUT,Austria,-5.615209099,100,30.65921657,8.071131802,1.813535031,145.5537959,75.17,51.26216033,47.75763591,46858.04327,48.679,100.294,9.4,9.2,3.5,80.5804878,1.44,0.2403943,65.852
AZE,Azerbaijan,6.338044724,99.96567535,4.449734285,3.388225879,5.667923129,100.7490321,46,54.30472154,20.68126693,5842.805784,89.375,182.472,18.3,5.9,34.1,70.987,1.92,1.189787708,53.401
BDI,Burundi,0.038511801,5.3,96.75782464,0.024260032,6.401249024,19.14044027,1,8.916642614,39.17905362,231.1943256,292.259,347.666,43.736,12.319,60.9,54.861,6.256,3.221182855,10.641
BEL,Belgium,23.05670402,100,5.837391476,10.17146522,2.189218922,111.110074,75,76.44845734,74.65171918,44380.17663,59.248,102.017,11.9,9.7,3.7,80.18292683,1.86,0.913639392,97.641
BEN,Benin,0.766902232,34.2,48.1172541,0.553283259,2.307356822,76.90743352,3.13,23.78772956,37.20526041,757.6959074,231.638,278.869,39.278,10.093,70.8,59.319,5.362,2.806108844,41.854
BFA,Burkina Faso,0.432438272,13.1,81.45402374,0.125717252,-0.764230735,36.57655001,2.4,19.22674197,29.64008894,575.4464527,265.826,296.047,42.314,10.645,66.2,57.096,5.868,3.019244688,25.665
BGD,Bangladesh,1.068934861,55.26,41.05084179,0.393936699,8.126676392,44.64297594,3.7,16.02411269,21.77872999,757.6717572,123.372,159.417,21.224,5.614,39.1,70.198,2.328,1.119887888,30.462
BGR,Bulgaria,3.641372982,100,14.3675278,5.964900206,2.438990605,137.7516108,46.23,50.17895111,53.02843365,6843.263289,88.259,196.963,10.2,14.9,9.1,73.51219512,1.57,-0.658275447,72.302
BHR,Bahrain,0.605800046,100,0,23.5854809,1.961884683,126.2831806,55,69.53731774,50.93507678,20722.10389,63.193,79.231,16.544,2.326,7.3,76.056,2.164,4.603905253,88.535
BHS,"Bahamas, The",11.02364096,99.56098938,1.65566802,4.583343495,1.344027384,118.7192378,43,40.74589128,49.2414665,21921.55906,126.411,209.197,15.323,5.895,11.3,74.761,1.865,1.670040267,82.549
BIH,Bosnia and Herzegovina,2.583954458,99.85575867,19.56884689,5.716134832,2.188537852,83.56160151,42.75,29.69554093,51.27267139,4614.829041,69.581,136.382,9.19,9.922,6,75.905,1.306,-0.655462608,39.226
BLR,Belarus,2.435056533,100,7.016370184,6.64269666,7.735748043,109.0765603,31.8,51.37288535,64.54508764,6029.3968,112.172,334.251,11.4,14.4,4.2,70.40487805,1.494,-0.170360662,74.615
BLZ,Belize,6.903510741,89.91722437,33.7103437,1.676105694,0.917977379,60.38438099,28.2,58.21243078,57.47189679,4344.150177,137.038,226.13,23.66,5.209,16.1,69.676,2.715,2.416656693,44.963
BMU,Bermuda,3.876992081,100,2.39176852,9.347122413,3.859509098,137.9073113,84.21,47.08311413,30.18607294,88207.32756,99.86486811,187.8802613,11.8,7.3,19.1,79.28853659,1.76,-0.780059723,100
BOL,Bolivia,3.165443564,84.29481506,20.0699703,1.532870644,2.501767027,72.3847331,22.4,41.18745607,34.32417047,1981.160705,169.011,232.066,25.502,7.914,36.5,66.408,3.2,1.621157434,66.426
BRA,Brazil,4.004401044,98.88305664,47.00666157,2.132937571,5.038316946,100.0679429,40.65,10.73817369,11.77920798,11224.15408,102.251,207.604,15.492,5.873,17.7,73.838,1.805,0.970296367,84.335
BRB,Barbados,14.99058925,100,9.031334484,5.285997375,5.824218533,125.2145266,65.1,39.52125335,48.73197136,15959.02979,80.64,132.75,12.48,10.321,13.1,74.973,1.781,0.39387979,32.06
BRN,Brunei Darussalam,3.507036879,100,0,21.10594553,0.356869132,111.9492001,53,67.41037988,27.96147673,35268.10117,76.142,107.749,16.553,3.196,8.8,76.719,1.838,1.266144506,75.51
BTN,Bhutan,4.747733399,73.28291087,90.89041792,0.67026322,7.036383161,54.19100903,13.6,42.45279115,70.73120267,2178.921383,231.151,223.534,20.58,6.239,34.4,67.79,2.382,1.828358142,34.793
BWA,Botswana,1.707877432,47.79311371,30.18609325,2.325924404,6.948876587,117.298669,6,43.63546441,51.26433191,6346.156204,300.88,423.03,25.286,9.33,40.1,59.868,2.884,1.751544498,56.235
CAF,Central African Republic,3.097660631,9.8,79.81060354,0.059350908,1.493233784,22.01250976,2,11.80726021,26.50980332,446.4434494,463.91,484.22,37.981,16.572,101.3,47.56,5.215,1.000713781,38.828
CAN,Canada,1.841558834,100,22.08098938,15.723167,1.776871541,75.58210932,80.3,29.07195642,30.98877285,47447.47602,52.65,85.408,11.1,7.1,4.9,81.19756098,1.6269,1.113959721,80.937
CHE,Switzerland,3.02693574,100,21.46036384,4.983428945,0.698510114,123.1383135,83.9,63.9656691,53.2865076,74605.72102,42.582,71.01,10.3,8,3.9,82.24634146,1.52,1.041558058,73.663
CHL,Chile,7.391569308,99.38864136,27.04274094,4.251715171,1.409964751,116.8235653,45,37.74511254,31.31860345,12860.17764,70.405,120.986,14.466,5.777,7.5,78.454,1.879,0.969247387,88.586
CHN,China,3.994731929,99.7,12.88431031,6.560520007,3.325774987,63.17336105,34.3,26.26741407,22.6218853,4560.512586,73.627,100.468,11.9,7.11,13.5,75.236,1.59,0.482959689,49.226
CIV,Cote d'Ivoire,1.439124099,57.96392822,75.37014337,0.341512032,1.226456121,76.46091326,2.7,50.63264302,43.3267912,1219.749096,403.948,436.395,38.203,14.225,78.4,50.423,5.269,2.305464264,50.557
CMR,Cameroon,2.049213283,52.8793602,78.60423417,0.33951502,1.275380462,43.24706023,4.3,22.17214409,26.95171122,1309.122208,345.146,379.897,39.307,11.66,68.3,55.424,5.111,2.730690231,51.516
COD,"Congo, Dem. Rep.",13.36189577,12.84067059,96.82782153,0.031314551,7.1,18.31951369,0.72,43.49996953,48.43625438,318.0757516,257.971,307.113,44.856,11.588,84.5,56.907,6.544,3.330935958,39.937
COG,"Congo, Rep.",12.66455723,42.51591492,55.14974864,0.451406105,0.425560659,84.77338168,5,85.11967006,54.69792897,2737.34233,292.894,323.236,38.022,9.288,44.1,60.473,4.948,3.078362675,63.228
COL,Colombia,2.24019686,96.788995,27.93153502,1.658923082,2.278220158,96.8630146,36.5,15.93598373,17.76486262,6250.654926,94.752,200.607,17.079,5.665,15.9,73.325,2.01,1.099085827,75.036
COM,Comoros,1.572548096,63.12582016,46.40799751,0.233942107,3.354757703,23.96403032,5.1,16.48142533,51.67938449,769.1742883,217.968,268.538,35.209,8.244,64.5,61.862,4.754,2.412541877,27.918
CPV,Cabo Verde,6.981903001,81.1,21.73605211,1.109478009,2.078664709,74.0212666,30,32.67031804,61.76802793,3312.825985,111.383,155.338,22.898,5.733,22.3,71.941,2.666,1.084919087,61.833
CRI,Costa Rica,5.116698743,98.995734,42.31125269,1.665175303,5.660230651,68.82682695,36.5,33.17295769,35.04561836,8199.414621,63.716,120.44,15.84,4.587,8.8,78.756,1.922,1.262356468,71.734
CUB,Cuba,3.032455396,99.96389771,13.15763195,3.386127443,3.859509098,8.850352831,15.9,22.57026489,17.72167641,5676.141403,74.922,114.85,11.042,7.258,4.7,78.959,1.639,0.127575696,76.597
CZE,Czech Republic,4.900684091,100,10.91771998,10.65257862,1.408717924,122.7576776,68.82,66.02952103,62.93755603,19808.07109,60.311,135.5,11.2,10.2,2.7,77.42439024,1.51,0.291361674,73.255
DEU,Germany,2.518329046,100,10.29351964,9.279634012,1.103808561,109.2777489,82,42.25037402,37.0527042,41785.55691,53.274,101.932,8.3,10.5,3.5,79.98780488,1.39,-0.153198447,74.291
DJI,Djibouti,3.234153297,53.30377197,34.43334712,0.607471574,3.950078759,19.45764886,6.5,31.79245291,30.6580141,1325.990724,249.306,295.183,25.193,8.896,62.5,60.383,3.301,1.695078341,76.996
DMA,Dominica,4.92922278,94.84715271,8.910212018,1.950531915,3.20744344,147.7701568,47.45,35.56843079,53.56533613,6912.435714,98.6988369,185.4704065,13.05991041,8.230683091,20,74.22200287,2.190586012,0.295789771,68.094
DNK,Denmark,-3.654668278,100,21.35483646,8.40721667,2.297730121,115.5890246,88.72,50.52293688,43.57704291,58041.41122,62.964,104.779,11.4,9.8,3.4,79.1,1.87,0.444197155,86.795
DOM,Dominican Republic,3.373578357,98.145414,16.97540917,2.123958664,6.329932201,89.84437742,31.4,22.64958155,33.25758452,5451.06696,125.992,212.865,22.205,6.006,28.3,72.702,2.597,1.324423934,73.752
DZA,Algeria,1.42696365,98.88497162,0.258071762,3.299703688,3.913043478,90.75943977,12.5,38.44454785,31.42211391,4463.394675,91.882,116.385,24.762,4.754,23.5,74.676,2.889,1.821358159,67.526
ECU,Ecuador,0.238455101,97.462142,12.1066394,2.441361756,3.556123806,98.96911151,29.03,27.89495597,32.40828274,4657.302361,93.17,174.406,21.898,5.175,21.2,75.046,2.656,1.643291468,62.69
EGY,"Egypt, Arab Rep.",2.91728671,99.64969635,5.724101953,2.41019138,11.26518827,84.01262188,21.6,21.34924581,26.58710426,2602.479549,122.203,198.319,27.093,6.206,24.3,70.357,3.185,1.972277516,43.019
ERI,Eritrea,4.298455436,39.74018097,81.24659878,0.11692068,4.257415985,4.219579853,0.61,4.789012237,23.34531064,482.1490904,253.632,325.122,35.889,8.288,39.1,62.181,4.605,1.850515743,20.572
ESP,Spain,2.865295766,100,14.39578579,5.816416366,1.79988133,109.8331304,65.8,25.51929579,26.82427713,30736.62785,40.92,89.007,10.4,8.2,3.1,81.62682927,1.37,0.460408305,78.442
EST,Estonia,13.3026104,100,25.12989194,13.59968907,2.975580329,124.0752585,74.1,75.07823021,68.72192133,14638.60482,67.783,203.142,11.9,11.9,3.6,75.42926829,1.72,-0.228057969,68.094
ETH,Ethiopia,0.963030625,25.0334053,94.51739029,0.07509386,8.136941131,7.815041435,0.75,31.79245291,30.6580141,341.3099092,242.618,290.016,34.831,8.388,53.7,61.625,4.924,2.641594477,17.319
FIN,Finland,4.933997863,100,33.58206418,11.57528165,1.210357625,156.361179,86.89,38.67771245,37.4120791,46202.41516,53.644,120.376,11.4,9.5,2.5,79.87073171,1.87,0.457494535,83.558
FJI,Fiji,11.34073048,89.54928589,29.61248725,1.419979069,3.680014831,81.15820687,20,57.83775918,63.89309569,3651.966784,148.514,245.086,21.574,6.632,20.4,69.267,2.669,0.932645434,51.828
FRA,France,1.469675805,100,11.8458733,5.428980862,1.529639382,91.68330775,77.28,26.04322983,27.9252092,40703.34592,53.63,115.614,12.9,8.5,3.5,81.66341463,2.03,0.49402977,78.345
GAB,Gabon,3.47527276,84.92988586,85.88337354,2.933224404,1.461544027,98.15816267,13,57.66349241,31.49417484,8754.113922,269.404,283.415,31.859,9.159,41.7,62.893,4.083,3.313386234,85.697
GBR,United Kingdom,2.733707955,100,3.638918262,7.857836486,3.285714286,121.2030538,85,28.21409515,30.81986762,38893.01849,57.424,91.091,12.9,8.9,4.4,80.40243902,1.92,0.783888647,81.302
GEO,Georgia,7.467567942,99.49563599,39.14857299,1.608398879,7.110178975,94.01135866,26.9,34.95113295,52.76446431,2964.477034,80.263,225.605,14.231,12.476,14.7,72.649,1.918,-1.315808458,52.869
GHA,Ghana,7.855067085,65.04080963,49.77878626,0.406162808,10.70756812,71.13607628,7.8,29.47671798,45.90109781,1312.607557,240.439,277.907,33.333,9.148,50.2,60.924,4.273,2.512829739,50.713
GIN,Guinea,1.477072352,25.81767082,75.70907041,0.2412015,15.46198107,37.05704098,1,31.79245291,30.6580141,635.6714852,275.2,306.4,38.588,11.147,69.8,56.765,5.336,2.226211614,34.856
GMB,"Gambia, The",3.902156218,40.19713593,54.70514883,0.255713888,5.048936576,87.36506064,9.2,23.78364065,42.71516514,562.4825159,248.045,301.885,42.116,9.03,48.6,59.622,5.707,3.157140562,56.297
GNB,Guinea-Bissau,3.084783972,6,87.80712886,0.153196262,2.517851402,43.53581253,2.45,19.91415288,35.23607957,546.7216686,262.69,312.55,39.254,11.993,72.4,55.05,5.049,2.501132548,45.221
GNQ,Equatorial Guinea,16.77450655,65.45861816,5.951101818,4.919642857,7.78916548,41.98173912,6,85.7584332,58.9097918,17136.44568,308.53,351.039,37.418,11.361,78.7,55.908,5.209,4.51562162,39.223
GRC,Greece,0.178275809,100,11.09298261,7.540183868,4.712981576,107.3974369,44.4,22.10220512,30.72689281,26917.75898,45.639,107.364,10.3,9.8,3.2,80.38780488,1.48,0.128880433,76.292
GRD,Grenada,7.836526067,89.57085419,10.49634586,2.487241705,3.436509059,116.4974159,27,23.8337789,49.22974878,7365.666659,106.121,196.69,19.447,7.448,12.9,72.618,2.24,0.364640812,35.681
GTM,Guatemala,2.045541684,84.20420837,66.58523597,0.797292859,3.859509098,123.4959332,10.5,25.80562844,36.30927006,2825.52407,125.029,230.167,27.688,5.145,29.1,71.494,3.375,2.171039571,49.323
GUM,Guam,9.068878034,100,0,1.096408647,3.247588424,54.96118512,54.04,17.28294178,55.546476,30700.43401,52.481,89.614,17.669,4.785,23.22390234,78.134,2.472,0.133678532,94.099
GUY,Guyana,8.710092329,80.25813293,33.84141565,2.303675813,2.086666667,75.06429524,29.9,51.38471841,79.10716986,3044.949129,176.41,256.887,21.056,7.873,30.7,66.022,2.655,0.115664356,28.239
